空气能热泵,886010,1535.6110,1522.6920,0.8484
免税店,885898,1109.3180,1100.1530,0.8331
可控核聚变,886065,1824.3698,1809.3199,0.8318
通信服务,881162,3051.0911,3025.9971,0.8293
虚拟数字人,885950,1577.9572,1565.1370,0.8191
其他社会服务,881179,20615.2617,20448.5977,0.8150
军工,885700,2232.0212,2214.0540,0.8115
数字经济,885976,1726.2443,1712.3719,0.8101
科创次新股,885907,693.3461,687.7840,0.8087
商业航天,886078,1843.1681,1828.4600,0.8044
可燃冰,885748,1445.7212,1434.1851,0.8044
无人机,885564,2957.6382,2934.1089,0.8019
土壤修复,885962,1022.2256,1014.1190,0.7994
央企国企改革,885595,3059.9304,3035.8831,0.7921
化学制药,881140,7148.2812,7092.4131,0.7877
中俄贸易概念,885965,1744.9904,1731.3760,0.7863
无线充电,885774,2025.6021,2009.8560,0.7834
BC电池,886053,1043.2823,1035.2030,0.7805
OLED,885738,2323.3225,2305.3491,0.7796
深圳国企改革,885697,1898.3765,1883.7321,0.7774
同花顺中特估100,886045,1165.1523,1156.1830,0.7758
元宇宙,885934,2020.1514,2004.6530,0.7731
智慧城市,885378,4598.4121,4563.6401,0.7619
参股保险,885623,1492.1305,1481.0260,0.7498
手机游戏,885457,3271.0852,3246.8091,0.7477
算力租赁,886050,1475.1448,1464.2070,0.7470
无线耳机,885868,2427.0828,2409.3391,0.7365
种植业与林业,881101,4248.4160,4217.6162,0.7303
智能座舱,886059,1662.1713,1650.1620,0.7278
建筑节能,885386,1419.9342,1409.6980,0.7261
小家电,881173,5161.9448,5124.8320,0.7242
互联网电商,881177,8753.2764,8690.4561,0.7229
石墨烯,885355,1556.5366,1545.3690,0.7226
医疗废物处理,885883,1441.2802,1431.0350,0.7159
网约车,885753,1725.0852,1712.9270,0.7098
净水概念,885961,1112.6063,1104.7740,0.7090
超级电容,885886,2544.5840,2526.6990,0.7078
农产品加工,881103,4555.2554,4523.5059,0.7019
减肥药,886051,1485.8840,1475.5540,0.7001
卫星导航,885574,4158.9204,4130.0239,0.6997
禽流感,885508,2460.7969,2443.7380,0.6981
汽车芯片,885945,1142.9347,1135.0360,0.6959
计算机设备,881130,4272.6357,4243.4502,0.6878
医药电商,885661,1102.3500,1094.8870,0.6816
高股息精选,886072,1396.4998,1387.1580,0.6734
预制菜,885951,1208.8549,1200.9540,0.6579
工业母机,885930,1774.4807,1763.1190,0.6444
超超临界发电,885996,1440.0458,1430.8260,0.6444
小米概念,885785,2035.8378,2022.9091,0.6391
通信设备,881129,7485.8560,7438.6880,0.6341
稀土永磁,885343,3320.0906,3299.1709,0.6341
垃圾分类,885854,1875.4821,1863.7670,0.6286
网红经济,885876,1582.4850,1572.6080,0.6281
证金持股,885663,1203.3911,1195.9530,0.6219
PM2.5,885555,1567.6501,1557.9750,0.6210
生物质能发电,886005,1109.0161,1102.1920,0.6191
传感器,885946,1573.5027,1563.8361,0.6181
两轮车,885974,2024.0664,2011.6450,0.6175
养老概念,885522,2435.3645,2420.6230,0.6090
游戏,881275,11351.2812,11282.7764,0.6072
环保设备,881284,1222.6774,1215.3060,0.6065
非金属材料,881167,25930.3828,25774.8066,0.6036
眼科医疗,885838,1970.0233,1958.2930,0.5990
华为汽车,885834,3208.1538,3189.2219,0.5936
智能家居,885478,3837.4126,3814.9900,0.5878
土地流转,885439,2117.0354,2104.6899,0.5866
语音技术,885772,2287.2100,2274.0129,0.5803
海峡两岸,885939,1569.4685,1560.6570,0.5646
白色家电,881131,8503.2676,8456.4453,0.5537
乡村振兴,885705,1223.8713,1217.2939,0.5403
基因测序,885578,2137.3369,2125.9409,0.5360
新疆振兴,885345,1025.2959,1019.8490,0.5341
钢铁,881112,1657.3032,1648.5699,0.5297
港口航运,881148,1157.4839,1151.4620,0.5230
数字孪生,885820,1983.0746,1973.0710,0.5070
人工智能,885728,1400.3870,1393.4100,0.5007
